px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.03076	-7.8108	-2.77763	2.25152	0.169398	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.309625
9.07639	-7.95629	-2.7824	2.22045	0.13055	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	1.25962
9.11998	-8.05487	-2.61045	2.20575	0.102353	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	7.32433
9.16843	-8.19675	-2.6092	2.17969	0.0714179	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.862216
9.24952	-8.31831	-2.66328	2.18224	0.0726656	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.832748
9.28085	-8.46558	-2.66992	2.14413	0.0320837	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	1.42674
9.32605	-8.57787	-2.54997	2.12502	0.00537413	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	3.99568
9.36118	-8.72327	-2.55087	2.09239	-0.0264766	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.938045
9.50115	-8.8861	-2.89569	2.13381	0.0350558	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	31.0331
9.53986	-9.04906	-2.91499	2.09638	-0.00275828	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	1.2135
9.58221	-9.1653	-2.81219	2.07572	-0.0292747	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	3.12996
9.62157	-9.3097	-2.81833	2.04924	-0.0534783	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.504943
9.65871	-9.42578	-2.74134	2.02889	-0.0757167	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.86909
9.6739	-9.58236	-2.75361	1.9858	-0.113633	9.54779	-9.64959	9.55	-9.65	0	-3.0002	1.26064
9.74077	-9.72169	-2.81116	1.98645	-0.103314	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.01225
9.75753	-9.87869	-2.82343	1.94752	-0.135769	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.954225
9.77549	-10.008	-2.71171	1.91232	-0.172092	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.8707
9.80524	-10.1527	-2.70734	1.88989	-0.184593	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.263388
9.84655	-10.2869	-2.7057	1.87711	-0.189154	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.495276
9.85256	-10.4369	-2.71776	1.84029	-0.215189	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.660521
9.89605	-10.5838	-2.75172	1.83534	-0.204199	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.930335
